model,accuracy,precision,recall,f1,roc_auc,confusion_matrix,model_object
随机森林,0.8919926291984254,0.8914292853573214,0.8066704352741662,0.8469345361742536,0.9572820217605309,"[[14164   869]
 [ 1710  7135]]",RandomForestClassifier(random_state=42)
决策树,0.8563950079571153,0.8033154121863799,0.8108535895986433,0.8070668992291679,0.849391181120021,"[[13277  1756]
 [ 1673  7172]]",DecisionTreeClassifier(random_state=42)
梯度提升,0.8499036770248765,0.8482722097179929,0.7243640474844545,0.7814367605805586,0.9258839898370185,"[[13887  1146]
 [ 2438  6407]]",GradientBoostingClassifier(random_state=42)
K近邻,0.840355138621325,0.7979164200307801,0.7620124364047485,0.7795512375665048,0.8995232609984057,"[[13326  1707]
 [ 2105  6740]]",KNeighborsClassifier()
逻辑回归,0.8084847977217522,0.7938910291689598,0.6523459581684568,0.716191894743375,0.8825749885018364,"[[13535  1498]
 [ 3075  5770]]",LogisticRegression(max_iter=1000)
AdaBoost,0.7980986682301701,0.8426430517711172,0.5594120972300735,0.6724196507440375,0.8896682019737471,"[[14109   924]
 [ 3897  4948]]",AdaBoostClassifier(random_state=42)
朴素贝叶斯,0.5288131334282603,0.4355443634804972,0.9190503109101187,0.5910065796648369,0.7551487688081133,"[[ 4498 10535]
 [  716  8129]]",GaussianNB()
